Date,High,Low,Open,Close
03/11/1987 00:00:00,292.51,289.33,290.31,290.31
03/12/1987 00:00:00,291.91,289.66,291.22,291.22
03/13/1987 00:00:00,291.79,289.88,289.89,289.89
03/16/1987 00:00:00,289.89,286.64,288.23,288.23
03/17/1987 00:00:00,292.47,287.96,292.47,292.47
03/18/1987 00:00:00,294.58,290.87,292.78,292.78
03/19/1987 00:00:00,294.46,292.26,294.08,294.08
03/20/1987 00:00:00,298.17,294.08,298.17,298.17
03/23/1987 00:00:00,301.17,297.5,301.16,301.16
03/24/1987 00:00:00,301.92,300.14,301.64,301.64
03/25/1987 00:00:00,301.85,299.36,300.38,300.38
03/26/1987 00:00:00,302.72,300.38,300.93,300.93
03/27/1987 00:00:00,301.41,296.06,296.13,296.13
03/30/1987 00:00:00,296.13,286.69,289.2,289.2
03/31/1987 00:00:00,291.87,289.07,291.7,291.7
04/01/1987 00:00:00,292.39,288.34,292.39,292.39
04/02/1987 00:00:00,294.47,292.02,293.63,293.63
04/03/1987 00:00:00,301.3,292.3,300.41,300.41
04/06/1987 00:00:00,302.21,300.41,301.95,301.95
04/07/1987 00:00:00,303.65,296.69,296.69,296.69
04/08/1987 00:00:00,299.2,295.18,297.26,297.26
04/09/1987 00:00:00,297.71,291.5,292.86,292.86
04/10/1987 00:00:00,293.74,290.94,292.49,292.49
04/13/1987 00:00:00,293.36,285.62,285.62,285.62
04/14/1987 00:00:00,285.62,275.67,279.16,279.16
04/15/1987 00:00:00,285.14,279.16,284.44,284.44
04/16/1987 00:00:00,289.57,284.44,286.91,286.91
04/20/1987 00:00:00,288.36,284.55,286.09,286.09
04/21/1987 00:00:00,293.07,282.89,293.07,293.07
04/22/1987 00:00:00,293.46,286.98,287.19,287.19
04/23/1987 00:00:00,289.12,284.28,286.82,286.82
04/24/1987 00:00:00,286.82,281.18,281.52,281.52
04/27/1987 00:00:00,284.45,276.22,281.83,281.83
04/28/1987 00:00:00,285.95,281.83,282.51,282.51
04/29/1987 00:00:00,286.42,282.51,284.57,284.57
04/30/1987 00:00:00,290.08,284.57,288.36,288.36
05/01/1987 00:00:00,289.71,286.52,288.03,288.03
05/04/1987 00:00:00,289.99,286.39,289.36,289.36
05/05/1987 00:00:00,295.4,289.34,295.34,295.34
05/06/1987 00:00:00,296.19,295.47,295.47,295.47
05/07/1987 00:00:00,296.8,294.07,294.17,294.17
05/08/1987 00:00:00,296.18,291.73,293.37,293.37
05/11/1987 00:00:00,298.69,291.55,291.57,291.57
05/12/1987 00:00:00,293.3,290.18,293.3,293.3
05/13/1987 00:00:00,294.54,290.74,293.98,293.98
05/14/1987 00:00:00,295.1,292.95,294.24,294.24
05/15/1987 00:00:00,294.24,287.11,287.43,287.43
05/18/1987 00:00:00,287.43,282.57,286.65,286.65
05/19/1987 00:00:00,287.39,278.83,279.62,279.62
05/20/1987 00:00:00,280.89,277.01,278.21,278.21
05/21/1987 00:00:00,282.31,278.21,280.17,280.17
05/22/1987 00:00:00,283.33,280.17,282.16,282.16
05/26/1987 00:00:00,289.11,282.16,289.11,289.11
05/27/1987 00:00:00,290.78,288.19,288.73,288.73
05/28/1987 00:00:00,291.5,286.33,290.76,290.76
05/29/1987 00:00:00,292.87,289.7,290.1,290.1
06/01/1987 00:00:00,291.96,289.23,289.83,289.83
06/02/1987 00:00:00,290.04,286.93,288.46,288.46
06/03/1987 00:00:00,293.47,288.46,293.47,293.47
06/04/1987 00:00:00,295.1,292.76,295.09,295.09
06/05/1987 00:00:00,295.11,292.8,293.45,293.45
06/08/1987 00:00:00,297.03,291.55,296.72,296.72
06/09/1987 00:00:00,297.59,295.9,297.28,297.28
06/10/1987 00:00:00,300.81,295.66,297.47,297.47
06/11/1987 00:00:00,298.94,297.47,298.73,298.73
06/12/1987 00:00:00,302.22,300.8,301.62,301.62
06/15/1987 00:00:00,304.11,301.62,303.14,303.14
06/16/1987 00:00:00,304.86,302.6,304.76,304.76
06/17/1987 00:00:00,305.74,304.03,304.81,304.81
06/18/1987 00:00:00,306.13,303.38,305.69,305.69
06/19/1987 00:00:00,306.97,305.55,306.97,306.97
06/22/1987 00:00:00,310.2,306.97,309.65,309.65
06/23/1987 00:00:00,310.27,307.48,308.43,308.43
06/24/1987 00:00:00,308.91,306.32,306.86,306.86
06/25/1987 00:00:00,309.44,306.86,308.96,308.96
06/26/1987 00:00:00,308.96,306.38,307.16,307.16
06/29/1987 00:00:00,308.15,306.75,307.9,307.9
06/30/1987 00:00:00,308,303.01,304,304
07/01/1987 00:00:00,304,302.53,302.94,302.94
07/02/1987 00:00:00,306.34,302.94,305.63,305.63
07/06/1987 00:00:00,306.75,304.23,304.92,304.92
07/07/1987 00:00:00,308.63,304.73,307.4,307.4
07/08/1987 00:00:00,308.48,306.01,308.29,308.29
07/09/1987 00:00:00,309.56,307.42,307.52,307.52
07/10/1987 00:00:00,308.4,306.96,308.37,308.37
07/13/1987 00:00:00,308.41,305.49,307.63,307.63
07/14/1987 00:00:00,310.69,307.46,310.68,310.68
07/15/1987 00:00:00,312.08,309.07,310.42,310.42
07/16/1987 00:00:00,312.83,310.42,312.7,312.7
07/17/1987 00:00:00,314.59,312.38,314.59,314.59
07/20/1987 00:00:00,314.59,311.24,311.39,311.39
07/21/1987 00:00:00,312.41,307.51,308.55,308.55
07/22/1987 00:00:00,309.12,307.22,308.47,308.47
07/23/1987 00:00:00,309.03,306.27,307.81,307.81
07/24/1987 00:00:00,309.28,307.78,309.27,309.27
07/27/1987 00:00:00,310.7,308.61,310.65,310.65
07/28/1987 00:00:00,312.33,310.28,312.33,312.33
07/29/1987 00:00:00,315.65,311.73,315.65,315.65
07/30/1987 00:00:00,318.53,315.65,318.05,318.05
07/31/1987 00:00:00,318.85,317.56,318.66,318.66
08/03/1987 00:00:00,320.26,316.52,317.57,317.57
08/04/1987 00:00:00,318.25,314.51,316.23,316.23
08/05/1987 00:00:00,319.74,316.23,318.45,318.45
08/06/1987 00:00:00,322.09,317.5,322.09,322.09
08/07/1987 00:00:00,324.15,321.82,323,323
08/10/1987 00:00:00,328,322.95,328,328
08/11/1987 00:00:00,333.4,328,333.33,333.33
08/12/1987 00:00:00,334.57,331.06,332.39,332.39
08/13/1987 00:00:00,335.52,332.38,334.65,334.65
08/14/1987 00:00:00,336.08,332.63,333.99,333.99
08/17/1987 00:00:00,335.43,332.88,334.11,334.11
08/18/1987 00:00:00,334.11,326.43,329.25,329.25
08/19/1987 00:00:00,329.89,326.54,329.83,329.83
08/20/1987 00:00:00,335.19,329.83,334.84,334.84
08/21/1987 00:00:00,336.37,334.3,335.9,335.9
08/24/1987 00:00:00,335.9,331.92,333.33,333.33
08/25/1987 00:00:00,337.89,333.33,336.77,336.77
08/26/1987 00:00:00,337.39,334.46,334.57,334.57
08/27/1987 00:00:00,334.57,331.1,331.38,331.38
08/28/1987 00:00:00,331.38,327.04,327.04,327.04
08/31/1987 00:00:00,329.79,327.82,329.8,329.8
09/01/1987 00:00:00,332.18,322.83,323.4,323.4
09/02/1987 00:00:00,324.53,318.76,321.68,321.68
09/03/1987 00:00:00,324.29,317.39,320.21,320.21
09/04/1987 00:00:00,322.03,316.53,316.7,316.7
09/08/1987 00:00:00,316.7,308.56,313.56,313.56
09/09/1987 00:00:00,315.41,312.29,313.92,313.92
09/10/1987 00:00:00,317.59,313.92,317.13,317.13
09/11/1987 00:00:00,322.45,317.13,321.98,321.98
09/14/1987 00:00:00,323.81,320.4,323.08,323.08
09/15/1987 00:00:00,323.08,317.63,317.74,317.74
09/16/1987 00:00:00,319.5,314.61,314.86,314.86
09/17/1987 00:00:00,316.08,313.45,314.93,314.93
09/18/1987 00:00:00,316.99,314.86,314.86,314.86
09/21/1987 00:00:00,317.66,310.12,310.54,310.54
09/22/1987 00:00:00,319.51,308.69,319.5,319.5
09/23/1987 00:00:00,321.83,319.12,321.19,321.19
09/24/1987 00:00:00,322.01,319.12,319.72,319.72
09/25/1987 00:00:00,320.55,318.1,320.16,320.16
09/28/1987 00:00:00,325.33,320.16,323.2,323.2
09/29/1987 00:00:00,324.63,320.27,321.69,321.69
